,date,code,capital,money_lock,money_rest,deal_action,deal_price,object_vol,fees,slippage
1553,20191202,ALL,365158167.7498,365136805.0,21362.749800017213,,,,,
1554,20191203,600519.XSHG,,162892600.0,,sell,1118.0,145700.0,293206.68,0.0
1555,20191203,CASH,,,162620756.06980002,,,,,
1556,20191203,STOCK,,0.0,,,,,,
1557,20191203,000906.XSHG,,200859740.0,,hold,,50000.0,,
1558,20191203,INDEX,,200859740.0,,,,,,
1559,20191203,ALL,363480496.0698,200859740.0,162620756.06980002,,,,,
1560,20191204,CASH,,,162620756.06980002,,,,,
1561,20191204,STOCK,,0.0,,,,,,
1562,20191204,000906.XSHG,,200753980.0,,hold,,50000.0,,
1563,20191204,INDEX,,200753980.0,,,,,,
1564,20191204,ALL,363374736.0698,200753980.0,162620756.06980002,,,,,
1565,20191205,CASH,,,162620756.06980002,,,,,
1566,20191205,STOCK,,0.0,,,,,,
1567,20191205,000906.XSHG,,202381885.0,,hold,,50000.0,,
1568,20191205,INDEX,,202381885.0,,,,,,
1569,20191205,ALL,365002641.0698,202381885.0,162620756.06980002,,,,,
1570,20191206,CASH,,,162620756.06980002,,,,,
1571,20191206,STOCK,,0.0,,,,,,
1572,20191206,000906.XSHG,,203710680.0,,hold,,50000.0,,
1573,20191206,INDEX,,203710680.0,,,,,,
1574,20191206,ALL,366331436.0698,203710680.0,162620756.06980002,,,,,
1575,20191209,CASH,,,162620756.06980002,,,,,
1576,20191209,STOCK,,0.0,,,,,,
1577,20191209,000906.XSHG,,203567365.0,,hold,,50000.0,,
1578,20191209,INDEX,,203567365.0,,,,,,
1579,20191209,ALL,366188121.0698,203567365.0,162620756.06980002,,,,,
1580,20191210,CASH,,,162620756.06980002,,,,,
1581,20191210,STOCK,,0.0,,,,,,
1582,20191210,000906.XSHG,,203997425.0,,hold,,50000.0,,
1583,20191210,INDEX,,203997425.0,,,,,,
1584,20191210,ALL,366618181.0698,203997425.0,162620756.06980002,,,,,
1585,20191211,CASH,,,162620756.06980002,,,,,
1586,20191211,STOCK,,0.0,,,,,,
1587,20191211,000906.XSHG,,203884790.0,,hold,,50000.0,,
1588,20191211,INDEX,,203884790.0,,,,,,
1589,20191211,ALL,366505546.0698,203884790.0,162620756.06980002,,,,,
1590,20191212,CASH,,,162620756.06980002,,,,,
1591,20191212,STOCK,,0.0,,,,,,
1592,20191212,000906.XSHG,,203270605.0,,hold,,50000.0,,
1593,20191212,INDEX,,203270605.0,,,,,,
1594,20191212,ALL,365891361.0698,203270605.0,162620756.06980002,,,,,
1595,20191213,CASH,,,162620756.06980002,,,,,
