,date,code,type,hold_vol,hold_days
583,20191018,000906.XSHG,INDEX,50000,194
584,20191021,600519.XSHG,STOCK,145700,38
585,20191021,000906.XSHG,INDEX,50000,195
586,20191022,600519.XSHG,STOCK,145700,39
587,20191022,000906.XSHG,INDEX,50000,196
588,20191023,600519.XSHG,STOCK,145700,40
589,20191023,000906.XSHG,INDEX,50000,197
590,20191024,600519.XSHG,STOCK,145700,41
591,20191024,000906.XSHG,INDEX,50000,198
592,20191025,600519.XSHG,STOCK,145700,42
593,20191025,000906.XSHG,INDEX,50000,199
594,20191028,600519.XSHG,STOCK,145700,43
595,20191028,000906.XSHG,INDEX,50000,200
596,20191029,600519.XSHG,STOCK,145700,44
597,20191029,000906.XSHG,INDEX,50000,201
598,20191030,600519.XSHG,STOCK,145700,45
599,20191030,000906.XSHG,INDEX,50000,202
600,20191031,600519.XSHG,STOCK,145700,46
601,20191031,000906.XSHG,INDEX,50000,203
602,20191101,600519.XSHG,STOCK,145700,47
603,20191101,000906.XSHG,INDEX,50000,204
604,20191104,600519.XSHG,STOCK,145700,48
605,20191104,000906.XSHG,INDEX,50000,205
606,20191105,600519.XSHG,STOCK,145700,49
607,20191105,000906.XSHG,INDEX,50000,206
608,20191106,600519.XSHG,STOCK,145700,50
609,20191106,000906.XSHG,INDEX,50000,207
610,20191107,600519.XSHG,STOCK,145700,51
611,20191107,000906.XSHG,INDEX,50000,208
612,20191108,600519.XSHG,STOCK,145700,52
613,20191108,000906.XSHG,INDEX,50000,209
614,20191111,600519.XSHG,STOCK,145700,53
615,20191111,000906.XSHG,INDEX,50000,210
616,20191112,600519.XSHG,STOCK,145700,54
617,20191112,000906.XSHG,INDEX,50000,211
618,20191113,600519.XSHG,STOCK,145700,55
619,20191113,000906.XSHG,INDEX,50000,212
620,20191114,600519.XSHG,STOCK,145700,56
621,20191114,000906.XSHG,INDEX,50000,213
622,20191115,600519.XSHG,STOCK,145700,57
623,20191115,000906.XSHG,INDEX,50000,214
624,20191118,600519.XSHG,STOCK,145700,58
625,20191118,000906.XSHG,INDEX,50000,215
626,20191119,600519.XSHG,STOCK,145700,59
627,20191119,000906.XSHG,INDEX,50000,216
628,20191120,600519.XSHG,STOCK,145700,60
629,20191120,000906.XSHG,INDEX,50000,217
630,20191121,600519.XSHG,STOCK,145700,61
631,20191121,000906.XSHG,INDEX,50000,218
632,20191122,600519.XSHG,STOCK,145700,62
633,20191122,000906.XSHG,INDEX,50000,219
634,20191125,600519.XSHG,STOCK,145700,63
635,20191125,000906.XSHG,INDEX,50000,220
636,20191126,600519.XSHG,STOCK,145700,64
637,20191126,000906.XSHG,INDEX,50000,221
638,20191127,600519.XSHG,STOCK,145700,65
639,20191127,000906.XSHG,INDEX,50000,222
640,20191128,600519.XSHG,STOCK,145700,66
641,20191128,000906.XSHG,INDEX,50000,223
642,20191129,600519.XSHG,STOCK,145700,67
643,20191129,000906.XSHG,INDEX,50000,224
644,20191202,600519.XSHG,STOCK,145700,68
645,20191202,000906.XSHG,INDEX,50000,225
646,20191203,000906.XSHG,INDEX,50000,226
647,20191204,000906.XSHG,INDEX,50000,227
648,20191205,000906.XSHG,INDEX,50000,228
649,20191206,000906.XSHG,INDEX,50000,229
650,20191209,000906.XSHG,INDEX,50000,230
651,20191210,000906.XSHG,INDEX,50000,231
652,20191211,000906.XSHG,INDEX,50000,232
653,20191212,000906.XSHG,INDEX,50000,233
654,20191213,000906.XSHG,INDEX,50000,234
655,20191216,000906.XSHG,INDEX,50000,235
656,20191217,000906.XSHG,INDEX,50000,236
657,20191218,000906.XSHG,INDEX,50000,237
658,20191219,000906.XSHG,INDEX,50000,238
659,20191220,000906.XSHG,INDEX,50000,239
660,20191223,000906.XSHG,INDEX,50000,240
661,20191224,000906.XSHG,INDEX,50000,241
662,20191225,000906.XSHG,INDEX,50000,242
663,20191226,000906.XSHG,INDEX,50000,243
664,20191227,000906.XSHG,INDEX,50000,244
665,20191230,000906.XSHG,INDEX,50000,245
666,20191231,000906.XSHG,INDEX,50000,246
667,20200102,000906.XSHG,INDEX,50000,247
668,20200103,000906.XSHG,INDEX,50000,248
669,20200106,000906.XSHG,INDEX,50000,249
670,20200107,000906.XSHG,INDEX,50000,250
671,20200108,000906.XSHG,INDEX,50000,251
672,20200109,000906.XSHG,INDEX,50000,252
673,20200110,000906.XSHG,INDEX,50000,253
674,20200113,000906.XSHG,INDEX,50000,254
675,20200114,000906.XSHG,INDEX,50000,255
676,20200115,000906.XSHG,INDEX,50000,256
677,20200116,000906.XSHG,INDEX,50000,257
678,20200117,000906.XSHG,INDEX,50000,258
679,20200120,000906.XSHG,INDEX,50000,259
680,20200121,000906.XSHG,INDEX,50000,260
681,20200122,000906.XSHG,INDEX,50000,261
682,20200123,000906.XSHG,INDEX,50000,262
683,20200203,000906.XSHG,INDEX,50000,263
684,20200204,000906.XSHG,INDEX,50000,264
685,20200205,000906.XSHG,INDEX,50000,265
686,20200206,000906.XSHG,INDEX,50000,266
687,20200207,000906.XSHG,INDEX,50000,267
688,20200210,000906.XSHG,INDEX,50000,268
689,20200211,000906.XSHG,INDEX,50000,269
690,20200212,000906.XSHG,INDEX,50000,270
691,20200213,000906.XSHG,INDEX,50000,271
692,20200214,000906.XSHG,INDEX,50000,272
693,20200217,000906.XSHG,INDEX,50000,273
694,20200218,000906.XSHG,INDEX,50000,274
695,20200219,000906.XSHG,INDEX,50000,275
696,20200220,000906.XSHG,INDEX,50000,276
697,20200221,000906.XSHG,INDEX,50000,277
698,20200224,000906.XSHG,INDEX,50000,278
699,20200225,000906.XSHG,INDEX,50000,279
700,20200226,000906.XSHG,INDEX,50000,280
701,20200227,000906.XSHG,INDEX,50000,281
702,20200228,000906.XSHG,INDEX,50000,282
703,20200302,000906.XSHG,INDEX,50000,283
704,20200303,000906.XSHG,INDEX,50000,284
705,20200304,000906.XSHG,INDEX,50000,285
706,20200305,000906.XSHG,INDEX,50000,286
707,20200306,000906.XSHG,INDEX,50000,287
708,20200309,000906.XSHG,INDEX,50000,288
709,20200310,000906.XSHG,INDEX,50000,289
710,20200311,600519.XSHG,STOCK,140200,0
711,20200311,000906.XSHG,INDEX,50000,290
712,20200312,600519.XSHG,STOCK,140200,1
713,20200312,000906.XSHG,INDEX,50000,291
714,20200313,000906.XSHG,INDEX,50000,292
715,20200316,000906.XSHG,INDEX,50000,293
716,20200317,000906.XSHG,INDEX,50000,294
717,20200318,000906.XSHG,INDEX,50000,295
718,20200319,000906.XSHG,INDEX,50000,296
719,20200320,000906.XSHG,INDEX,50000,297
720,20200323,000906.XSHG,INDEX,50000,298
721,20200324,000906.XSHG,INDEX,50000,299
722,20200325,000906.XSHG,INDEX,50000,300
723,20200326,000906.XSHG,INDEX,50000,301
724,20200327,000906.XSHG,INDEX,50000,302
725,20200330,000906.XSHG,INDEX,50000,303
726,20200331,000906.XSHG,INDEX,50000,304
727,20200401,603288.XSHG,STOCK,1277200,0
728,20200401,000906.XSHG,INDEX,50000,305
729,20200402,603288.XSHG,STOCK,1277200,1
730,20200402,000906.XSHG,INDEX,50000,306
731,20200403,603288.XSHG,STOCK,1277200,2
732,20200403,000906.XSHG,INDEX,50000,307
733,20200407,603288.XSHG,STOCK,1277200,3
734,20200407,000906.XSHG,INDEX,50000,308
735,20200408,603288.XSHG,STOCK,1277200,4
736,20200408,000906.XSHG,INDEX,50000,309
737,20200409,603288.XSHG,STOCK,1277200,5
738,20200409,000906.XSHG,INDEX,50000,310
739,20200410,603288.XSHG,STOCK,1277200,6
740,20200410,000906.XSHG,INDEX,50000,311
741,20200413,603288.XSHG,STOCK,1277200,7
742,20200413,000906.XSHG,INDEX,50000,312
743,20200414,603288.XSHG,STOCK,1277200,8
744,20200414,000906.XSHG,INDEX,50000,313
745,20200415,603288.XSHG,STOCK,1277200,9
746,20200415,000906.XSHG,INDEX,50000,314
747,20200416,603288.XSHG,STOCK,1277200,10
748,20200416,000906.XSHG,INDEX,50000,315
749,20200417,603288.XSHG,STOCK,1277200,11
750,20200417,000906.XSHG,INDEX,50000,316
751,20200420,603288.XSHG,STOCK,1277200,12
752,20200420,000906.XSHG,INDEX,50000,317
753,20200421,603288.XSHG,STOCK,1277200,13
754,20200421,000906.XSHG,INDEX,50000,318
755,20200422,603288.XSHG,STOCK,1277200,14
756,20200422,000906.XSHG,INDEX,50000,319
757,20200423,603288.XSHG,STOCK,1277200,15
758,20200423,000906.XSHG,INDEX,50000,320
759,20200424,603288.XSHG,STOCK,1277200,16
760,20200424,000906.XSHG,INDEX,50000,321
761,20200427,603288.XSHG,STOCK,1277200,17
762,20200427,000906.XSHG,INDEX,50000,322
763,20200428,603288.XSHG,STOCK,1277200,18
764,20200428,000906.XSHG,INDEX,50000,323
765,20200429,603288.XSHG,STOCK,1277200,19
766,20200429,000906.XSHG,INDEX,50000,324
767,20200430,603288.XSHG,STOCK,1277200,20
768,20200430,000906.XSHG,INDEX,50000,325
769,20200506,603288.XSHG,STOCK,1277200,21
770,20200506,000906.XSHG,INDEX,50000,326
771,20200507,603288.XSHG,STOCK,1532640,22
772,20200507,000906.XSHG,INDEX,50000,327
773,20200508,603288.XSHG,STOCK,1532640,23
774,20200508,000906.XSHG,INDEX,50000,328
775,20200511,603288.XSHG,STOCK,1532640,24
776,20200511,000906.XSHG,INDEX,50000,329
777,20200512,603288.XSHG,STOCK,1532640,25
778,20200512,000906.XSHG,INDEX,50000,330
779,20200513,603288.XSHG,STOCK,1532640,26
780,20200513,000906.XSHG,INDEX,50000,331
781,20200514,603288.XSHG,STOCK,1532640,27
782,20200514,000906.XSHG,INDEX,50000,332
783,20200515,603288.XSHG,STOCK,1532640,28
784,20200515,000906.XSHG,INDEX,50000,333
785,20200518,603288.XSHG,STOCK,1532640,29
786,20200518,000906.XSHG,INDEX,50000,334
787,20200519,603288.XSHG,STOCK,1532640,30
788,20200519,000906.XSHG,INDEX,50000,335
789,20200520,603288.XSHG,STOCK,1532640,31
790,20200520,000906.XSHG,INDEX,50000,336
791,20200521,603288.XSHG,STOCK,1532640,32
792,20200521,000906.XSHG,INDEX,50000,337
793,20200522,603288.XSHG,STOCK,1532640,33
794,20200522,000906.XSHG,INDEX,50000,338
795,20200525,603288.XSHG,STOCK,1532640,34
796,20200525,000906.XSHG,INDEX,50000,339
797,20200526,603288.XSHG,STOCK,1532640,35
798,20200526,000906.XSHG,INDEX,50000,340
799,20200527,603288.XSHG,STOCK,1532640,36
800,20200527,000906.XSHG,INDEX,50000,341
801,20200528,603288.XSHG,STOCK,1532640,37
802,20200528,000906.XSHG,INDEX,50000,342
803,20200529,603288.XSHG,STOCK,1532640,38
804,20200529,000906.XSHG,INDEX,50000,343
805,20200601,603288.XSHG,STOCK,1532640,39
806,20200601,000906.XSHG,INDEX,50000,344
807,20200602,603288.XSHG,STOCK,1532640,40
808,20200602,000906.XSHG,INDEX,50000,345
809,20200603,603288.XSHG,STOCK,1532640,41
810,20200603,000906.XSHG,INDEX,50000,346
811,20200604,603288.XSHG,STOCK,1532640,42
812,20200604,000906.XSHG,INDEX,50000,347
813,20200605,603288.XSHG,STOCK,1532640,43
814,20200605,000906.XSHG,INDEX,50000,348
815,20200608,603288.XSHG,STOCK,1532640,44
816,20200608,000906.XSHG,INDEX,50000,349
817,20200609,603288.XSHG,STOCK,1532640,45
818,20200609,000906.XSHG,INDEX,50000,350
819,20200610,603288.XSHG,STOCK,1532640,46
820,20200610,000906.XSHG,INDEX,50000,351
821,20200611,603288.XSHG,STOCK,1532640,47
822,20200611,000906.XSHG,INDEX,50000,352
823,20200612,603288.XSHG,STOCK,1532640,48
824,20200612,000906.XSHG,INDEX,50000,353
825,20200615,603288.XSHG,STOCK,1532640,49
826,20200615,000906.XSHG,INDEX,50000,354
827,20200616,603288.XSHG,STOCK,1532640,50
828,20200616,000906.XSHG,INDEX,50000,355
829,20200617,603288.XSHG,STOCK,1532640,51
830,20200617,000906.XSHG,INDEX,50000,356
831,20200618,603288.XSHG,STOCK,1532640,52
832,20200618,000906.XSHG,INDEX,50000,357
833,20200619,603288.XSHG,STOCK,1532640,53
834,20200619,000906.XSHG,INDEX,50000,358
835,20200622,603288.XSHG,STOCK,1532640,54
836,20200622,000906.XSHG,INDEX,50000,359
837,20200623,603288.XSHG,STOCK,1532640,55
838,20200623,000906.XSHG,INDEX,50000,360
839,20200624,603288.XSHG,STOCK,1532640,56
840,20200624,000906.XSHG,INDEX,50000,361
841,20200629,603288.XSHG,STOCK,1532640,57
842,20200629,000906.XSHG,INDEX,50000,362
843,20200630,603288.XSHG,STOCK,1532640,58
844,20200630,000906.XSHG,INDEX,50000,363
