,date,code,type,hold_vol,hold_days
133,20190228,600031.XSHG,STOCK,100000,37
134,20190228,600519.XSHG,STOCK,165200,32
135,20190228,600436.XSHG,STOCK,100,19
136,20190228,000906.XSHG,INDEX,50000,39
137,20190301,600031.XSHG,STOCK,100000,38
138,20190301,600519.XSHG,STOCK,165200,33
139,20190301,600436.XSHG,STOCK,100,20
140,20190301,000906.XSHG,INDEX,50000,40
141,20190304,600031.XSHG,STOCK,100000,39
142,20190304,600519.XSHG,STOCK,165200,34
143,20190304,600436.XSHG,STOCK,100,21
144,20190304,000906.XSHG,INDEX,50000,41
145,20190305,600031.XSHG,STOCK,100000,40
146,20190305,600519.XSHG,STOCK,165200,35
147,20190305,600436.XSHG,STOCK,100,22
148,20190305,000906.XSHG,INDEX,50000,42
149,20190306,600031.XSHG,STOCK,100000,41
150,20190306,600519.XSHG,STOCK,165200,36
151,20190306,600436.XSHG,STOCK,100,23
152,20190306,000906.XSHG,INDEX,50000,43
153,20190307,600031.XSHG,STOCK,100000,42
154,20190307,600519.XSHG,STOCK,165200,37
155,20190307,600436.XSHG,STOCK,100,24
156,20190307,000906.XSHG,INDEX,50000,44
157,20190308,600031.XSHG,STOCK,100000,43
158,20190308,600519.XSHG,STOCK,165200,38
159,20190308,600436.XSHG,STOCK,100,25
160,20190308,000906.XSHG,INDEX,50000,45
161,20190311,600031.XSHG,STOCK,100000,44
162,20190311,600519.XSHG,STOCK,165200,39
163,20190311,600436.XSHG,STOCK,100,26
164,20190311,000906.XSHG,INDEX,50000,46
165,20190312,600031.XSHG,STOCK,100000,45
166,20190312,600519.XSHG,STOCK,165200,40
167,20190312,600436.XSHG,STOCK,100,27
168,20190312,000906.XSHG,INDEX,50000,47
169,20190313,600031.XSHG,STOCK,100000,46
170,20190313,600519.XSHG,STOCK,165200,41
171,20190313,600436.XSHG,STOCK,100,28
172,20190313,000906.XSHG,INDEX,50000,48
173,20190314,600031.XSHG,STOCK,100000,47
174,20190314,600519.XSHG,STOCK,165200,42
175,20190314,600436.XSHG,STOCK,100,29
176,20190314,000906.XSHG,INDEX,50000,49
177,20190315,600031.XSHG,STOCK,100000,48
178,20190315,600519.XSHG,STOCK,165200,43
179,20190315,600436.XSHG,STOCK,100,30
180,20190315,000906.XSHG,INDEX,50000,50
181,20190318,600031.XSHG,STOCK,100000,49
182,20190318,600519.XSHG,STOCK,165200,44
183,20190318,600436.XSHG,STOCK,100,31
184,20190318,000906.XSHG,INDEX,50000,51
185,20190319,600031.XSHG,STOCK,100000,50
186,20190319,600519.XSHG,STOCK,165200,45
187,20190319,600436.XSHG,STOCK,100,32
188,20190319,000906.XSHG,INDEX,50000,52
189,20190320,600031.XSHG,STOCK,100000,51
190,20190320,600519.XSHG,STOCK,165200,46
191,20190320,600436.XSHG,STOCK,100,33
192,20190320,000906.XSHG,INDEX,50000,53
193,20190321,600031.XSHG,STOCK,100000,52
194,20190321,600519.XSHG,STOCK,165200,47
195,20190321,600436.XSHG,STOCK,100,34
196,20190321,000906.XSHG,INDEX,50000,54
197,20190322,600031.XSHG,STOCK,100000,53
198,20190322,600519.XSHG,STOCK,165200,48
199,20190322,600436.XSHG,STOCK,100,35
200,20190322,000906.XSHG,INDEX,50000,55
201,20190325,600031.XSHG,STOCK,100000,54
202,20190325,600519.XSHG,STOCK,165200,49
203,20190325,600436.XSHG,STOCK,100,36
204,20190325,000906.XSHG,INDEX,50000,56
205,20190326,600031.XSHG,STOCK,100000,55
206,20190326,600519.XSHG,STOCK,165200,50
207,20190326,600436.XSHG,STOCK,100,37
208,20190326,000906.XSHG,INDEX,50000,57
209,20190327,600031.XSHG,STOCK,100000,56
210,20190327,600519.XSHG,STOCK,165200,51
211,20190327,600436.XSHG,STOCK,100,38
212,20190327,000906.XSHG,INDEX,50000,58
213,20190328,600031.XSHG,STOCK,100000,57
214,20190328,600519.XSHG,STOCK,165200,52
215,20190328,600436.XSHG,STOCK,100,39
216,20190328,000906.XSHG,INDEX,50000,59
217,20190329,600031.XSHG,STOCK,100000,58
218,20190329,600519.XSHG,STOCK,165200,53
219,20190329,600436.XSHG,STOCK,100,40
220,20190329,000906.XSHG,INDEX,50000,60
221,20190401,600031.XSHG,STOCK,100000,59
222,20190401,600519.XSHG,STOCK,165200,54
223,20190401,600436.XSHG,STOCK,100,41
224,20190401,000906.XSHG,INDEX,50000,61
225,20190402,600031.XSHG,STOCK,100000,60
226,20190402,600519.XSHG,STOCK,165200,55
227,20190402,600436.XSHG,STOCK,100,42
228,20190402,000906.XSHG,INDEX,50000,62
229,20190403,600031.XSHG,STOCK,100000,61
230,20190403,600519.XSHG,STOCK,165200,56
231,20190403,600436.XSHG,STOCK,100,43
232,20190403,000906.XSHG,INDEX,50000,63
233,20190404,600031.XSHG,STOCK,100000,62
234,20190404,600519.XSHG,STOCK,165200,57
235,20190404,600436.XSHG,STOCK,100,44
236,20190404,000906.XSHG,INDEX,50000,64
237,20190408,600031.XSHG,STOCK,100000,63
238,20190408,600519.XSHG,STOCK,165200,58
239,20190408,600436.XSHG,STOCK,100,45
240,20190408,000906.XSHG,INDEX,50000,65
241,20190409,600031.XSHG,STOCK,100000,64
242,20190409,600519.XSHG,STOCK,165200,59
243,20190409,600436.XSHG,STOCK,100,46
244,20190409,000906.XSHG,INDEX,50000,66
245,20190410,600031.XSHG,STOCK,100000,65
246,20190410,600519.XSHG,STOCK,165200,60
247,20190410,600436.XSHG,STOCK,100,47
248,20190410,000906.XSHG,INDEX,50000,67
249,20190411,600031.XSHG,STOCK,100000,66
250,20190411,600519.XSHG,STOCK,165200,61
251,20190411,600436.XSHG,STOCK,100,48
252,20190411,000906.XSHG,INDEX,50000,68
253,20190412,600031.XSHG,STOCK,100000,67
254,20190412,600519.XSHG,STOCK,165200,62
255,20190412,600436.XSHG,STOCK,100,49
256,20190412,000906.XSHG,INDEX,50000,69
257,20190415,600031.XSHG,STOCK,100000,68
258,20190415,600519.XSHG,STOCK,165200,63
259,20190415,600436.XSHG,STOCK,100,50
260,20190415,000906.XSHG,INDEX,50000,70
261,20190416,600031.XSHG,STOCK,100000,69
262,20190416,600519.XSHG,STOCK,165200,64
263,20190416,600436.XSHG,STOCK,100,51
264,20190416,000906.XSHG,INDEX,50000,71
265,20190417,600031.XSHG,STOCK,100000,70
266,20190417,600519.XSHG,STOCK,165200,65
